Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603,126.5200,-96.1040,90.0000,top
D2,LED,LED_0603,125.5040,-102.2000,270.0000,top
D3,LED,LED_0603,124.4880,-108.2960,270.0000,top
D4,LED,LED_0603,135.4100,-102.2000,90.0000,top
D5,LED,LED_0603,134.9020,-105.2480,90.0000,top
D6,LED,LED_0603,138.9660,-100.6760,225.0000,top
D7,LED,LED_0603,138.9660,-104.2320,135.0000,top
D8,LED,LED_0603,126.0120,-99.1520,90.0000,top
D9,LED,LED_0603,124.9960,-105.2480,90.0000,top
D10,LED,LED_0603,136.4260,-96.1040,270.0000,top
D11,LED,LED_0603,135.9180,-99.1520,90.0000,top
D12,LED,LED_0603,134.3940,-108.2960,90.0000,top
D13,LED,LED_0603,141.2520,-98.3900,225.0000,top
D14,LED,LED_0603,141.2520,-106.5180,135.0000,top
D15,LED,LED_0603,147.3480,-57.7500,90.0000,top
D16,LED,LED_0603,147.8560,-60.7980,90.0000,top
D17,LED,LED_0603,101.6000,-95.1300,0.0000,top
D18,LED,LED_0603,102.1000,-91.6300,180.0000,top
D19,LED,LED_0603,148.3640,-63.8460,90.0000,top
D20,LED,LED_0603,148.8720,-66.8940,90.0000,top
D21,LED,LED_0603,153.4440,-64.1000,270.0000,top
D22,LED,LED_0603,103.8202,-88.4098,180.0000,top
D23,LED,LED_0603,154.9680,-61.3060,270.0000,top
D24,LED,LED_0603,106.3202,-85.4098,0.0000,top
D25,LED,LED_0603,133.1000,-74.3800,180.0000,top
D26,LED,LED_0603,149.6340,-69.9420,90.0000,top
D27,LED,LED_0603,137.3493,-74.1300,0.0000,top
D28,LED,LED_0603,151.6660,-66.8940,270.0000,top
D29,LED,LED_0603,109.5000,-82.7500,0.0000,top
D30,LED,LED_0603,112.6000,-80.6300,180.0000,top
D31,LED,LED_0603,116.3500,-78.8800,180.0000,top
D32,LED,LED_0603,120.3500,-77.3800,180.0000,top
D33,LED,LED_0603,156.4920,-58.5120,270.0000,top
D34,LED,LED_0603,158.0160,-55.7180,270.0000,top
D35,LED,LED_0603,141.6000,-74.3800,0.0000,top
D36,LED,LED_0603,149.8507,-76.1300,180.0000,top
D37,LED,LED_0603,145.8507,-75.1300,180.0000,top
D38,LED,LED_0603,154.1000,-77.3800,0.0000,top
D39,LED,LED_0603,124.5993,-76.1300,0.0000,top
D40,LED,LED_0603,128.8493,-74.8800,180.0000,top
D41,LED,LED_0603,158.1000,-79.3800,0.0000,top
D42,LED,LED_0603,162.1007,-81.1300,180.0000,top
D43,LED,LED_0603,165.6000,-83.6300,0.0000,top
D44,LED,LED_0603,168.6000,-86.3800,180.0000,top
D45,LED,LED_0603,177.5740,-99.4060,0.0000,top
D46,LED,LED_0603,175.7960,-95.8500,180.0000,top
D47,LED,LED_0603,171.3500,-89.1300,0.0000,top
D48,LED,LED_0603,173.6000,-92.3800,180.0000,top
D49,LED,LED_0603,176.5580,-114.6460,180.0000,top
D50,LED,LED_0603,177.5100,-110.7600,0.0000,top
D51,LED,LED_0603,178.2700,-103.5800,0.0000,top
D52,LED,LED_0603,178.1500,-107.4400,180.0000,top
