Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603,126.52,-96.104,90,top
D2,LED,LED_0603,125.504,-102.2,270,top
D3,LED,LED_0603,124.488,-108.296,270,top
D4,LED,LED_0603,135.41,-102.2,90,top
D5,LED,LED_0603,134.902,-105.248,90,top
D6,LED,LED_0603,138.966,-100.676,225,top
D7,LED,LED_0603,138.966,-104.232,135,top
D8,LED,LED_0603,126.012,-99.152,90,top
D9,LED,LED_0603,124.996,-105.248,90,top
D10,LED,LED_0603,136.426,-96.104,270,top
D11,LED,LED_0603,135.918,-99.152,90,top
D12,LED,LED_0603,134.394,-108.296,90,top
D13,LED,LED_0603,141.252,-98.39,225,top
D14,LED,LED_0603,141.252,-106.518,135,top
D15,LED,LED_0603,147.348,-57.75,90,top
D16,LED,LED_0603,147.856,-60.798,90,top
D17,LED,LED_0603,101.6,-95.13,0,top
D18,LED,LED_0603,102.1,-91.63,180,top
D19,LED,LED_0603,148.364,-63.846,90,top
D20,LED,LED_0603,148.872,-66.894,90,top
D21,LED,LED_0603,153.444,-64.1,270,top
D22,LED,LED_0603,103.8202,-88.4098,180,top
D23,LED,LED_0603,154.968,-61.306,270,top
D24,LED,LED_0603,106.3202,-85.4098,0,top
D25,LED,LED_0603,133.1,-74.38,180,top
D26,LED,LED_0603,149.634,-69.942,90,top
D27,LED,LED_0603,137.3493,-74.13,0,top
D28,LED,LED_0603,151.666,-66.894,270,top
D29,LED,LED_0603,109.5,-82.75,0,top
D30,LED,LED_0603,112.6,-80.63,180,top
D31,LED,LED_0603,116.35,-78.88,180,top
D32,LED,LED_0603,120.35,-77.38,180,top
D33,LED,LED_0603,156.492,-58.512,270,top
D34,LED,LED_0603,158.016,-55.718,270,top
D35,LED,LED_0603,141.6,-74.38,0,top
D36,LED,LED_0603,149.8507,-76.13,180,top
D37,LED,LED_0603,145.8507,-75.13,180,top
D38,LED,LED_0603,154.1,-77.38,0,top
D39,LED,LED_0603,124.5993,-76.13,0,top
D40,LED,LED_0603,128.8493,-74.88,180,top
D41,LED,LED_0603,158.1,-79.38,0,top
D42,LED,LED_0603,162.1007,-81.13,180,top
D43,LED,LED_0603,165.6,-83.63,0,top
D44,LED,LED_0603,168.6,-86.38,180,top
D45,LED,LED_0603,177.574,-99.406,0,top
D46,LED,LED_0603,175.796,-95.85,180,top
D47,LED,LED_0603,171.35,-89.13,0,top
D48,LED,LED_0603,173.6,-92.38,180,top
D49,LED,LED_0603,176.558,-114.646,180,top
D50,LED,LED_0603,177.51,-110.76,180,top
D51,LED,LED_0603,178.27,-103.58,0,top
D52,LED,LED_0603,178.15,-107.44,180,top
